Model,Embedding,Accuracy,F1_Macro,F1_Weighted
Neural Network (DNN),BoW,0.5883,0.5960,0.5917
Neural Network (DNN),TF-IDF,0.6250,0.6236,0.6213
DNN,GloVe,0.5233,0.5288,0.5315
DNN,Word2Vec (Skip-gram),0.1400,0.0935,0.0967
SimpleRNN,GloVe,0.4650,0.4518,0.4494
SimpleRNN,Word2Vec (Skip-gram),0.1767,0.1395,0.1459
GRU,GloVe,0.5667,0.5552,0.5557
GRU,Word2Vec (Skip-gram),0.1733,0.1177,0.1241
Bi-SimpleRNN,GloVe,0.5500,0.5346,0.5373
Bi-SimpleRNN,Word2Vec (Skip-gram),0.1333,0.1173,0.1208
LSTM,GloVe,0.5500,0.5433,0.5438
LSTM,Word2Vec (Skip-gram),0.2050,0.1473,0.1532
Bi-GRU,GloVe,0.6150,0.6057,0.6052
Bi-GRU,Word2Vec (Skip-gram),0.1967,0.1478,0.1509
Bi-LSTM,GloVe,0.5717,0.5661,0.5665
Bi-LSTM,Word2Vec (Skip-gram),0.1783,0.1202,0.1247
